"f7","f7 2","b","flex","flex 2","b 2","mv1","b 3","mv1 2","w_iUH7","b 4","tl-m","ml1","w_kV33"
"Mar 11, 2025","Paul","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","I got this to replace one I got a few years ago.  It is basically the same except it is gray and the old one was cream colored.  This one has a little larger perches on top than the old one.  I got the old one when my cat was a kitten so this is nice being a little larger on top.  Was really happy with the old one and so was my cat.  She likes to play with the ball on the string and likes the condo with the hole to look out.  It seems to be sturdy for her as she is older now and larger and heavier.  I put some hand weights on the bottom to keep it from tipping over like I did on the old one.  The old one is torn up and will be discarded probably.  Really like this new one.","(0)","54 inch Cat Tree"
"Apr 17, 2025","steven","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","it's a little smaller than i thought but it's still pretty good it's seems well made the only problem i had was the little ladder part doesn't fit as the holes were put in the wrong place but everything else is pretty good only one of my cats like it but that is fine it's more kitten sized so would be better for very small cats or kittens","(0)",""
"May 24, 2025","MissSHERRIE","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","I have rebuilt car engines,  water pumps, repair watches and jewelry. This was a keep your focus and double check parts number multi hour session. I have a senior cat, she is still active enough to appreciate this jungle gym. The construction is hefty enough to stay put even when latched onto from a running jump. The claw portions are tiny but at every level. The basement hide away is Spirits fav. The Penthouse Sky View is purr fect for watching all the outdoor babies or catching a relaxed sunbath. So when the Ad Text said ... your kitten... they meant kitten. The hidey-hole boxes are a tad small for my plump older cat. Though she uses them to stash her toys. She refuses to leave them on the floor or couch. I think she is a neat freak.","(0)","Small cat or kitten size"
"Mar 1, 2025","TallInTexas","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Well made, durable material. Easy to assemble, clear instructions. Our kitten has had a great time exploring and playing on it. The best price by far compared to other retailers. Ive sent links to this product to several loved ones that have cats, highly recommend.","(0)","Well made, great price!"
"Apr 10, 2025","Barry","Item details","Size: 54""","Color: Beige","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","this cat play toy is very difficult to assemble the instructions are not very clear. they have a few pictures but no words in the instructions and there is no priority in the instructions from what I can gather this should have been a 30-minute assembly, but this took 2 hours. how about redrafting the instructions using more words and maybe more detailed pictures for key components. re-prioritize the order of the assembly. I was afraid I was going to break the particle board foundations I barely got through but again it took over 2 hours.","(0)",""
"Apr 7, 2025","Mark","Item details","Size: 70""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","2 out of 5 stars review","Verified Purchase","We had a 3 year old cat tree that had shed most of its scratching post rope due to 6 cats clawing on it as they should. We decided to buy a new one instead of trying to replace the rope, thinking it would be the easier way to go.

This cat tree was almost impossible to set up (with 2 people it took about 45 minutes) due to very poor quality control.  The holes in the wood do not line up with the holes in the carpeting, and trying to get some of the riser poles in place was very difficult.  We had to cut the carpeting, and fight with the poor execution of what looked like a good design.  

There are openings for the cats to go into the ""houses"", but the larger house has no platform under the openig to get in.  The cats can make the jump, but it is not a very friendly way for them to do it. The grommets on the strap used to keep it from tipping fell out of the strap when the screw was going into the wall.  If that is the quality of the rest of the piece, we will be buying a new cat tree sooner than we expected to.

Save yourself the frustration and find another cat tree that was actually designed with the cats and the assemblers in mind.  This one is headed to the garbage in short order, based on how the unit was so poorly designed.","(0)","Terrible assembly experience - poor design"
"May 3, 2025","Lee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","I do not recommend.  I'm going to have to send this trash back to where it came from. I spent 6 hours ""TRYING "" assembly it. I don't own a drill I'm a 62 year old senior lady and this just about killed me trying to put together.  %231 the holes do NOT line up with each other. %232 pr-drilled hole were missing.(so I could t assemble it the way it's supposed to be assembled.) %233 the instructions are useless because it's not clear on what goes where. I literally had to figure it out on my own without instructions. %234 It is NOT STURDY AT ALL! It wobbles so much my cat won't even get on it. I put him on it and it was wobbly with him standing still he gor scared and tried to get off, but there is no room for him to get off because of the very bad design.  %234 The design makes the tree useless. I'm in tears after waiting months to save the extra money to bring my cat some enjoyment. He was so excited to watch me work on it for 6 hours then once he got on it he didn't trust it and I don't either.  They need to stop selling this product before there is a lawsuit.  Or lower the price to $10 ...actually NO ...ITS NOT WORTH ANY AMOUNT OF MONEY.  ILL BE RETURNING THIS JUNK. SAVE YOURSELF THE HEADACHE AND GO WITH A DIFFERENT PRODUCT! IM SO MAD I CANT SEE STRAIGHT.","(0)",""
"Mar 22, 2025","Rachel","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","The cat tree was definitely worth the price. Cat trees are so expensive now and this was good quality for the price. Easy to put together and my cats will definitely enjoy it. Only took off one star because it is a little wobbly and the sisal is not very good quality.","(0)",""
"Apr 7, 2025","Jen","Item details","Size: 70""","Color: Beige","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","We love this cat tree/hutch!!! It's well made %26 a great value!! We have 3 cats %26 they all use it %26 enjoy all the perches %26 cozy spots! It's stopped them from scratching on our furniture too. The beige is a pretty color %26 we've gotten lots of compliments! Would not hestitate to recommend or purchase again. Thanks Walmart!!","(0)","Great value %26 a hit with our cats!!!"
"Jun 14, 2025","Charla","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","The fabric is flimsy. Just a cheap product. I know it was  inexpensive, but this was ridiculous. One of the bottom pieces is cracked, and one of the screws was filled with  some kind of liquid that hardened. Assembly was difficult. I'm really disappointed with this product.","(0)","Disappointed"
"Mar 19, 2025","Christine","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","I noticed that this cat tree was at a great price.  It didn't occur to me that the quality would be so affected by this.  A cat tree is a cat tree, right? WRONG!! It is so cheap and flimsy.  It is put together exactly like the directions show. It's just cheap materials, I guess.","(0)",""
"Apr 16, 2025","Patricia","Item details","Color: Dark Gray","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","Poor design. There is no room on any of the flat platforms for cats to find any space to maneuver so they can jump to next level. The supports for the next level are in the way on each flat platform. I had to place additional flat surfaces (coffee table, small cat trees) next to the tower so cats could get to 2nds and 3rd levels. The assembly of the tree was difficult. I used a Philips screwdriver to align holes so I could get bolts inserted into slots. Often, the holes in the fuzzy carpet did not line up with holes in the platforms/supports so I had to poke new holes in the carpet. Once assembled, the tree was sturdy and with the addition of the extra tables next to tree, my cats did enjoy being high up.","(0)","Poor design"
"Apr 2, 2025","Sal","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","this is a poorly made item if i could give it 0 stars i would i ordered it and i haven't even had it 3 months and the parts that the cats lay on broke off one of them our cat was sleeping on it and it just fell off and broke and knocked our cat off. we ordered a scratching post from a different seller over a year ago and that one is still going strong just normal wear and tear to be honest this item just sucks","(0)",""
"Apr 17, 2025","lynne","Item details","Color: Beige","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","The item arrived before scheduled time, which is great.
The instructions were only diagrams, and very difficult to follow. Assembly took me THREE HOURS!! will lots of do-overs. Not sure if I put all the screws and pieces in the right position. The small screwdriver was very difficult to use - took a long time to screw in one screw, and the driver dropped out of my hand a lot. Why do we have to use that type?","(0)","Very Hard to Assemble"
"May 3, 2025","Judy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I put it together and realized that they sent a wrong piece.  I emailed asking if they could just send me the part so i dont have to take it apart, and they emailed saying they just needed an email copy of the receipt.  So after I sent that it was mailed to my house in 2 days.  They were very nice in their emails and they responded very quickly each time.  But the most important thing is my cat loves it.  At first, she smelled it and wouldn't get on it.  Now she sleeps and plays on it all day.  of course the price was good too.  I loved that it was on sale.","(0)",""
"May 21, 2025","Janet","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The cat tree is very stable, even with a puppy trying to jump on it to get to the cats. The best thing, is my one cat has stopped chewing and scratching on the carpeting of my stairs and shredding it to pieces. now he's very happy to hang out on the cat tree on the top platform. so worth it!","(0)",""
"May 20, 2025","Natanya","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This was a perfect addition to include without taking up hardly any space. The assembly was super simple and the structure is very stable. Much better quality than others I've purchased. I anticipate this will last a long time. The boards very strong and the scratch posts are solid. I wouldn't recommend for multiple adult cats, two at most.I love the ladder feature. It was so fun to watch the new kitten navigate her way to the top. The carpt is very soft and easy to clean. There are no n","(0)","Great for single adults or multiple kittens."
"Apr 12, 2025","KAD","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","This is a GREAT cat tree!! And it was SO easy to put together, it only took me 30 minutes, with the instructions being easy to read and follow. My 3 kittens just Love it!! They play on it most of the day, lounge on the various platforms, and sometimes sleep in/on the the different platforms or sleeping compartments. The material is so soft, and easy to clean. Thank you So So Much! Happy Kitties and a Happy Me!! Keep up the Great work!","(0)","Happy Kitties!!"
"Aug 25, 2025","Erin","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","There are NO assembly instructions or pictures as to how to put this together???? What am I supposed to do with this???? HELP","(0)",""
"Jul 21, 2025","Linda","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My fur baby circled around it for several days…took hidden treats to get her on it-guess she is still adjusting to the change.","(0)","Adjusting to change"
"Oct 29, 2025","Linda","Item details","Color: Light Gray","Assembled product height: 54""","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","The cat tree was missing major pieces. This made it seriously unstable. That's why it was discounted! Shame on Walmart.","(0)",""
"Oct 23, 2025","sharon","Item details","Color: Gray","Assembled product height: 81 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","my Kitten loves his tree climber. He loves sleeing in the boxes.  Looking out the front the window on the 2nd ledge. The price was great.","(0)",""
"Nov 19, 2025","Shantel","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Sturdy and seems non tipable house. Make sure you are very good at following directions because they are difficult to understand.","(0)","Study house… bad directions"
"Nov 22, 2025","Sandra","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","unable to assemble because holes are not drilled, have fought with it for over an hour I'm taking it back","(0)",""
"Nov 21, 2025","kim","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I LOVE THE COLOR. EASY TO PUT TOGETHER AND MY CATS LOVED IT RIGHT AWAY. LOOKS GREAT IN MY LIVING ROOM.  THE PRICE WAS GREAT, THANK U WALMART.","(0)","GREAT CAT TOWER"
"Aug 12, 2025","Margie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","my 2 year old girl cracker.loves it .
she is big but she fits herself in all places.
she enjoys all of the tree.
thank you😀","(0)",""
"Aug 29, 2025","jocasta","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","my cat loves this tower ive got 4 catsbut my other cats dont want nothing to do with it so oh well at least one of them loves it lol","(0)",""
"Jun 28, 2025","MICHELLEj","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I ordered this for my daughter's cat Stevie and she has reported that Stevie loves it!  It's perfect!","(0)","Awesome"
"Sep 13, 2025","Christina","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This is the first time that I have purchase one of these cat trees,  absolutely one of the best things to get a cat .

Very happy","(0)",""
"Jul 11, 2025","Leyla","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","The description was in inches but should have been in centimeters. So size is not accurate. Too small for my cat. 
I returned for a refund.","(0)",""
"Oct 13, 2025","LisaRaye","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","It came without screws, I'm taking a chance and ordering it again. I hope all the parts are there this time","(0)",""
"Oct 17, 2025","gabrielle","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","some of the bolts that came with it were bent or stripped, but if you replace them, its chunky cat friendly for the most part","(0)",""
"Sep 29, 2025","Jeanne","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","It looks so lovely in the picture, but was definitely not sturdy for 26 month old kittens to play on","(0)",""
"Sep 15, 2025","Rosie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I looked at many cat towers and chose this one because it was on sale. Couldn't be happier with my choice. My cats love the multi levels and love it!","(0)","54” cat tower"
"Oct 25, 2025","Cilvia","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","it's not that sturdy it's real wobbly it broke apart already the material isn't strong enough to hold well the so called polls","(0)",""
"Oct 12, 2025","Keiaunta","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Very soft %26 understanding of putting the pieces together. Cats are in love and got me wanting to be a cat ugh","(0)","Cat Tower"
"Sep 23, 2025","Lizeth","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","Honestly u need to have time to assembly this cat tower , it takes a big longer cause instructions are not straight clear but is deft worthy.","(0)",""
"Jul 4, 2025","Catherine","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Very nice fabric covering the cat tree 
I love the color of the dark gray 
Great price and good quality","(0)","Love it!"
"Oct 8, 2025","Tiana","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Items aren't sturdy , I tried to screw one of the seat thins onto the scratching pole and the entire bottom came undone","(0)",""
"Jul 22, 2025","Chris","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cats loved it, though were not crazy about the lower levels, they liked being high up on the pedestals.","(0)","Cat's like climbing and open air."
"Jul 2, 2025","Aileen","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cats love it! It was easy to put together and barely took any time at all. The instructions were clear about screws and the size was perfect!","(0)","Easy build."
"Oct 17, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This product was easy to assemble, looks great and was well worth the money. my cat loves to sit on the top tower and bird watch.","(0)","Easy to put together"
"Oct 28, 2025","Melissa","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","I'm 5""7 and it is almost as tall as me. Super sturdy and my cat loves it. Great deal great price like always at Walmart.com","(0)",""
"Mar 22, 2025","Erin","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Not as described, waste of money for sure. Please don't use computer graphic animals, please use actual cats when showcasing the product. Very disappointing and feel scammed!!!","(0)",""
"Jul 14, 2025","Emma","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My cat loves it!   It was easy to put together and not too overpowering size wize.  Would say it's a little bit wobbly on my solid floor but overall for the price you can't beat it!","(0)","My cat loves it"
"Jun 29, 2025","janet","Item details","Color: Pink","Assembled product height: 56""","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","No dislikes
Didn't need the top tier when I out it in front of my window- so unscrewed it No Problem 
Smokee even started using the rope scratcher now. Happy withy purchase","(0)","Worth it"
"Jul 20, 2025","FullVol","Item details","Color: Dark Gray","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Our cat loves this.  We had a taller one but for this second one we were looking for this wider base.  The height is just over 5 ft tall making the view for the cat right at the top of the window—purrfect!","(0)","Very nice kitty condo tower!"
"Jul 9, 2025","Marilyn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","My acct was scammed after my order was delivered and it was trying to be paid for by my debit card, what a mess, had to get a new card because of this, be a long time before I shop again!","(0)",""
"Jun 30, 2025","Theo","Item details","Color: Dark Gray","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","It is nice and my cat really likes it but it does wobble a fair amount when she climbs it. She doesn't seem to mind but it makes me nervous. I alsonthink it needs more scratchers and the need to be wider not just those narrow posts.","(0)","Tall and soft but wobbly"
"Jul 27, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","It was a great value as I saved over $80.  Took a while to assemble but it fit together perfectly.  Kitten used it immediately.  You will not be disappointed.","(0)","Awesome"
"Jun 24, 2025","Karen","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This is beautiful. Put it on the front room cuz it matches our leather furniture. Looks so much better than the picture. The 3 cats love it. Two of them sleep on it","(0)",""
"Jun 28, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","not super sturdy, shakes when i move it. also not big width wise, and my cat is on the heavier side. he cant sprawl like he likes to do and it wobbles everytime he tries to get on it. slightly disappointed, but it was inexpensive.","(0)","its ok"
"Jul 1, 2025","CrockDixieMarie","Item details","Color: Beige","Assembled product height: 70 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Not hard to put together. The cats love it, they can look right out to see the birds and squirrels. I put a feeder on the window, they watch for hours. and they love to scratch on it!","(0)",""
"Jun 25, 2025","Caryn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","A little wobbly but a nice cat tree. Unfortunately, neither of my cats would get on it so after two weeks I donated it to a rescue where the kitties love it.","(0)",""
"Jul 11, 2025","Meme","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","The cat tree was easy to assemble and is very sturdy.  It is heave so I don't worry abolt it turning over. We only have one cat but the tree is big enough for more than one cat.","(0)",""
"Jul 5, 2025","Rosemary","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Not that difficult to put together %26 it's very sturdy.  Mine was  missing a piece but customer service shipped it out to me and I was so appreciative. It took a moment for my kitten to approach the condo but he loves it now!!!","(0)","Kitten approved – human approved too😎"
"May 6, 2025","April","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","I bought this on sale. Missing 3 pieces and no option to receive missing parts. If I return it, I have to pay full price.","(0)","Do not buy"
"Apr 27, 2025","Michael","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","Putting this thing together was IMPOSSIBLE.  I gave it away to another cat owner.  Won't purchase another one.","(0)","IMPOSSIBLE to assemble"
"May 18, 2025","Wanda","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","It's only half the size it looks. It would be perfect for kittens but not really for full grown cats","(0)",""
"May 14, 2025","Crystal","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","it was alightly more difficult to assemble than id imagined but we got it together easy enough and i think she likes it","(0)",""
"Aug 26, 2025","AMANDA","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Nice %26 easy to assemble. My senior cat is a little big for the hiding spots but cats usually like that so it seems to be ok for her.","(0)","Nice, easy to assemble."
"Apr 30, 2025","Rudy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Much nicer than I expected. The quality is great.  A little tedious to put together but once done well worth it.","(0)","Very nice. Excellent quality for the price."
"May 6, 2025","anonymous","Item details","Color: Beige","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","This cat tree is sized for kittens - maybe 3-4 months old; definitely not large enough even for 7 month old cats (6-7 lbs.) Returning.","(0)",""
"May 6, 2025","Ailyn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Not sturdy. broke already. The pillar with a screw pre-installed came off along with the circular board when my cat climbed up to it.","(0)","Cheap but broke within a week of use"
"Apr 29, 2025","Donnetta","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","The holes for the different tears were offset, and it is no use to me because I can't put it all together","(0)",""
"Mar 10, 2025","Meadows","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","its is very sturdy easy to set up i have 4 cats they enjoyed looking down on my little dog,its has soft fur like ..and tous to entertain them...very happy with it..thankx","(0)",""
"Apr 5, 2025","Kaley","Item details","Size: 54""","Color: Dark Gray","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My kitten absolutely loves her new cat house. Super easy to put together, came with all tools needed, took less than an hour to build. Very sturdy, tons on space for her to explore. Super easy accessibility even for a 3 month old kitten.","(0)","This was amazing."
"Mar 14, 2025","Gina","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","It's easy to put together and  looks beautiful. It's just very wobbly and not really designed for aggressive scratching. That said, for the price, I'd definitely get it again.","(0)",""
"Jun 6, 2025","Doris","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","The product came with the screws open and rolling around in the bottom of the box and some were not there so it couldn't be put together until I  got more screws","(0)",""
"May 7, 2025","Angela","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","quite difficult to put together some of the holes did not line up properly but I got it done and my cat loves it and you got the patience to cut new holes it works.","(0)","takes a while to put together."
"Mar 11, 2025","Chloe","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","For the price, can't beat it. Simple assembly. My cats couldn't stay off it by the time I was half way done. So soft and cute. I'll make an update on its durability in some months","(0)",""
"Mar 22, 2025","Erin","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","If I could do zero stars I would! Items screws don't line up. Jokes to house backwards and hardware on ramp stripped and not repairable unless we reconfigure! Now to disassemble to return for a refund?! Junk! Don't do it!","(0)","Junk!"
"Apr 13, 2025","Jeremy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Arrived 3 days late, package in good condition. Assembly was simple. Assembled on Wednesday evening and broken by Sunday morning. The screw broke off and the plastic where the screw goes is broken.","(0)",""
"May 31, 2025","Paul","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I saw a lot of people had trouble assembling and I thought it was easy to assemble. Recently rescued several cats and they needed something to cheer them up and this did just that. Also steps on a cat tree are redundant.","(0)","easy to assemble and cats love it"
"Mar 6, 2025","anonymous","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","2 out of 5 stars review","Verified Purchase","It's alright  -but geared more  towards kittens/small cats. There isn't a lot of base to any of the levels for them to really move around comfortably -so unfortunately for us it didn't really work - but kept bc it got put together.","(0)",""
"Mar 11, 2025","Diane","Item details","Size: 70""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Looks like my cats will love it. Getting ready to put it together.  Read through the instructions  and they look like they will be easy-to-use.  Even has a warning so you don't  mess up.","(0)",""
"Mar 20, 2025","amy","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","it is a good sized cat tree, our pet likes and uses. it was not hard to assemble but takes some patience and I vacuumed parts because it was shedding.","(0)",""
